name,avg_red_intensity,avg_green_intensity,avg_blue_intensity,avg_edge_intensity,num_keypoints,capacity,lux
0,47.86284,59.492586,72.006016,11.103232,46,63,43
0,51.042227,62.684196,73.82555,10.616559,45,63,43
0,60.908019,71.887839,81.503608,9.881328,66,94,43
0,50.014296,60.59837,72.156533,11.147912,54,63,43
0,53.570218,64.173977,74.944223,11.456442,63,63,43
0,54.747319,61.883129,70.098111,9.620038,38,42,43
0,55.986561,62.738898,70.834437,9.007336,44,63,43
0,53.298458,60.609684,69.636722,9.697591,40,42,43
0,65.459998,70.869158,77.104781,9.7257,67,94,43
0,55.705207,62.016665,70.288868,10.167026,53,63,43
0,59.018323,63.825127,70.040554,8.899756,43,63,43
0,55.707346,60.84135,67.323701,10.016736,36,42,43
0,45.052497,50.368536,58.045492,9.714581,27,28,43
0,61.505481,65.982367,71.891158,9.20775,50,63,43
0,62.263726,67.98334,74.299934,10.076056,49,63,43
0,46.919107,53.025819,58.62045,7.836707,44,63,43
0,28.737841,35.505327,43.004422,7.774239,20,28,43
0,39.920212,46.768431,53.6977,8.320101,36,42,43
0,44.651945,51.757216,58.496477,9.398194,39,42,43
0,44.431721,51.165998,57.971554,7.500815,52,63,43
1,104.872065,113.241252,119.362969,10.864501,60,63,43
1,147.529959,152.940015,157.625289,7.561342,72,94,43
1,145.91001,151.363548,156.174345,7.327393,74,94,43
1,126.614514,133.733009,141.312034,8.491996,63,63,43
1,132.854051,139.959366,146.840013,7.80492,67,94,43
1,128.094414,135.174938,142.229197,7.048164,69,94,43
1,119.110055,123.521824,132.29523,8.331642,53,63,43
1,119.293145,124.118101,131.703569,6.810675,87,94,43
1,135.600186,142.708154,147.335056,7.691119,76,94,43
1,127.035292,135.138251,141.312565,7.727407,79,94,43
1,125.778617,133.714357,140.529967,7.750729,71,94,43
1,131.010192,137.09832,142.365298,6.462309,80,94,43
1,127.015041,133.810405,139.454227,7.43623,75,94,43
1,119.63828,126.328442,131.936937,7.042571,88,94,43
1,142.611628,147.023905,148.756521,5.864477,72,94,43
1,135.606346,141.256396,144.211212,6.696264,68,94,43
1,136.09969,140.794788,141.430905,6.922677,104,141,43
1,131.117016,137.320521,140.386386,6.70378,58,63,43
1,117.969164,125.876932,131.984862,5.483999,79,94,43
1,120.686158,128.14051,134.124057,5.798064,86,94,43
2,146.597138,149.358333,146.258618,7.885305,44,63,43
2,135.942973,139.288143,135.654857,13.260759,33,42,43
2,136.67944,139.34492,136.652582,6.887209,46,63,43
2,139.538909,143.370271,140.620213,5.783088,40,42,43
2,137.617936,138.075293,136.660811,7.148363,71,94,43
2,136.799375,137.246696,136.17469,6.865798,62,63,43
2,139.680335,140.177728,139.716264,8.818973,73,94,43
2,134.933946,138.309244,136.6316,7.511284,47,63,43
2,127.459702,130.817212,129.102416,9.615451,78,94,43
2,128.349193,130.488091,127.352004,6.542601,69,94,43
2,128.202559,131.316899,128.243629,6.119785,60,63,43
2,134.090858,134.919971,132.353016,7.682083,45,63,43
2,127.453661,128.605946,126.082785,5.043737,44,63,43
2,135.068416,139.065189,134.86543,5.770769,43,63,43
2,127.740315,130.970303,126.853997,9.240394,63,63,43
2,128.415786,132.372471,128.173341,7.220003,58,63,43
